source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_01,True,0.939896,7.904,12105,"0.000..180.000 x, -286.332..-23.737 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_01.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_01.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_01.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_01.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.366590; source_strategy=font_first_text_rich; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=true; fallback_threshold=0.920; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_02,True,0.971947,5.08,8972,"0.052..180.000 x, -292.356..-17.624 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_02.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_02.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_02.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_02.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.305375; source_strategy=graph_lineart; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_03,True,0.958757,4.885,7455,"0.498..179.530 x, -294.953..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_03.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_03.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_03.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_03.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.462723; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_04,True,0.982607,4.476,8018,"0.345..179.655 x, -295.000..-15.019 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_04.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_04.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_04.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_04.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.324132; source_strategy=formula_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_05,True,0.949393,4.737,6375,"0.104..179.932 x, -265.743..-44.322 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_05.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_05.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_05.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_05.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.466895; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_06,True,0.94626,6.235,10482,"0.000..180.000 x, -289.751..-20.249 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_06.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_06.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_06.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_06.svg,font=Marck Script; variant=graph_safe; contours=always; page_override=yes; variant=graph_safe; graph_rescue=tuned; iou=0.416660; source_strategy=graph_lineart; primary_font=Marck Script; selected_font=Marck Script; selected_variant=graph_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=graph_rescue
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_07,True,0.944706,3.629,4563,"0.017..179.903 x, -259.736..-50.373 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_07.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_07.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_07.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_07.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.441207; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_08,True,0.981092,4.204,5952,"0.000..180.000 x, -290.438..-19.626 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_08.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_08.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_08.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_08.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.486319; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_09,True,0.989713,3.641,4770,"5.841..174.228 x, -294.952..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_09.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_09.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_09.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_09.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.609172; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_10,True,0.999931,0.0,0,"0.000..0.000 x, 0.000..0.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_10.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_10.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_10.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_10.svg,font=Marck Script; variant=blank_safe; contours=off; page_override=yes; variant=blank_safe; blank_page_output; iou=0.000000; source_strategy=blank_safe; primary_font=Marck Script; selected_font=Marck Script; selected_variant=blank_safe; selected_contours=off; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=blank_safe
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_11,True,0.957266,1.761,3098,"0.000..180.000 x, -188.213..-121.735 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_11.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_11.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_11.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.357993; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_12,True,0.941392,10.176,16334,"0.000..180.000 x, -290.359..-19.627 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_12.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_12.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_12.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_12.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.230850; source_strategy=font_first_text_rich; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=true; fallback_threshold=0.920; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_13,True,0.982218,6.991,13008,"0.409..179.529 x, -294.947..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_13.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_13.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_13.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_13.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.501762; source_strategy=formula_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack,toe_handwriting,page_14,True,0.975278,2.038,3707,"0.063..180.000 x, -200.523..-109.421 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_14.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_14.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_14.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_25_pack\pages\page_14.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.480072; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
