source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\Начерт\1 вариант\_generated_pdf\Задача 1.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 1_pack,drawing,page_01,True,0.971428,6.607,6435,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Начерт\1 вариант\Задача 1_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\1 вариант\Задача 1_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\1 вариант\Задача 1_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 1_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.121747; source_crop_corr=0.206866; detail_scale=1.0; frame_scale_x=0.9729; frame_scale_y=0.9822; header_scale_x=0.8571; header_scale_y=0.9427; header_content_paths=104; header_text_paths=0; header_thumb_target_w=33.46; header_text_scale=0.8571; detail_bbox=160.54x207.93 mm; condition_images_recovered=0; point_boxes_replaced=36; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\1 вариант\_generated_pdf\Задача 2.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 2_pack,drawing,page_01,True,0.979703,4.381,4891,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Начерт\1 вариант\Задача 2_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\1 вариант\Задача 2_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\1 вариант\Задача 2_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 2_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.119397; source_crop_corr=0.184501; detail_scale=1.0; frame_scale_x=0.9729; frame_scale_y=0.9822; header_scale_x=0.8571; header_scale_y=0.9427; header_content_paths=72; header_text_paths=0; header_thumb_target_w=33.46; header_text_scale=0.8571; detail_bbox=174.30x207.21 mm; condition_images_recovered=0; point_boxes_replaced=19; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\1 вариант\_generated_pdf\Задача 3.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 3_pack,drawing,pass_01,True,,7.48,879,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Начерт\1 вариант\Задача 3_pack\pages\pass_01.nc,C:\plotter_pdf\Начерт\1 вариант\Задача 3_pack\pages\pass_01.gcode,C:\plotter_pdf\Начерт\1 вариант\Задача 3_pack\pages\pass_01.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 3_pack\pages\pass_01.svg,scale=1.0; clipping=True; source_cleanup=method3; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\1 вариант\_generated_pdf\Задача 3.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 3_pack,drawing,pass_02,True,,7.967,2399,"0.000..180.000 x, -291.000..-15.000 y",C:\plotter_pdf\Начерт\1 вариант\Задача 3_pack\pages\pass_02.nc,C:\plotter_pdf\Начерт\1 вариант\Задача 3_pack\pages\pass_02.gcode,C:\plotter_pdf\Начерт\1 вариант\Задача 3_pack\pages\pass_02.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 3_pack\pages\pass_02.svg,scale=1.0; clipping=True; source_cleanup=method3; left_strip_removed=True; outer_border_removed=True; pass_02_rotated_180_for_sheet_flip=True
C:\plotter_pdf\Начерт\1 вариант\_generated_pdf\Задача 4.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 4_pack,drawing,page_01,True,0.972513,6.595,6215,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Начерт\1 вариант\Задача 4_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\1 вариант\Задача 4_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\1 вариант\Задача 4_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 4_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.108011; source_crop_corr=0.158834; detail_scale=1.0; frame_scale_x=0.9729; frame_scale_y=0.9822; header_scale_x=0.8571; header_scale_y=0.9427; header_content_paths=96; header_text_paths=0; header_thumb_target_w=33.46; header_text_scale=0.8571; detail_bbox=175.44x218.72 mm; condition_images_recovered=0; point_boxes_replaced=21; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\1 вариант\_generated_pdf\Задача 5.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 5_pack,drawing,page_01,True,0.969666,6.995,4640,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Начерт\1 вариант\Задача 5_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\1 вариант\Задача 5_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\1 вариант\Задача 5_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 5_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.086786; source_crop_corr=0.124533; detail_scale=1.0; frame_scale_x=0.9729; frame_scale_y=0.9822; header_scale_x=0.8571; header_scale_y=0.9427; header_content_paths=78; header_text_paths=0; header_thumb_target_w=33.46; header_text_scale=0.8571; detail_bbox=174.30x219.41 mm; condition_images_recovered=0; point_boxes_replaced=21; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\1 вариант\_generated_pdf\Задача 6.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 6_pack,drawing,page_01,True,0.97908,4.988,4214,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Начерт\1 вариант\Задача 6_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\1 вариант\Задача 6_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\1 вариант\Задача 6_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 6_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.111894; source_crop_corr=0.178437; detail_scale=1.0; frame_scale_x=0.9729; frame_scale_y=0.9822; header_scale_x=0.8571; header_scale_y=0.9427; header_content_paths=88; header_text_paths=0; header_thumb_target_w=33.46; header_text_scale=0.8571; detail_bbox=174.73x192.82 mm; condition_images_recovered=0; point_boxes_replaced=18; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\1 вариант\_generated_pdf\Задача 7.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 7_pack,drawing,page_01,True,0.977366,4.509,5361,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Начерт\1 вариант\Задача 7_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\1 вариант\Задача 7_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\1 вариант\Задача 7_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 7_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.125490; source_crop_corr=0.189748; detail_scale=1.0; frame_scale_x=0.9729; frame_scale_y=0.9822; header_scale_x=0.8571; header_scale_y=0.9427; header_content_paths=81; header_text_paths=0; header_thumb_target_w=33.46; header_text_scale=0.8571; detail_bbox=174.61x209.69 mm; condition_images_recovered=0; point_boxes_replaced=21; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\1 вариант\_generated_pdf\Задача 8.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 8_pack,drawing,page_01,True,0.973702,6.372,4972,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Начерт\1 вариант\Задача 8_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\1 вариант\Задача 8_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\1 вариант\Задача 8_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 8_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.133832; source_crop_corr=0.174403; detail_scale=1.0; frame_scale_x=0.9729; frame_scale_y=0.9822; header_scale_x=0.8571; header_scale_y=0.9427; header_content_paths=102; header_text_paths=0; header_thumb_target_w=31.75; header_text_scale=0.8571; detail_bbox=175.23x195.58 mm; condition_images_recovered=0; point_boxes_replaced=19; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\1 вариант\_generated_pdf\Задача 9.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 9_pack,drawing,page_01,True,0.976984,5.568,5052,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Начерт\1 вариант\Задача 9_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\1 вариант\Задача 9_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\1 вариант\Задача 9_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\1 вариант\Задача 9_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.103398; source_crop_corr=0.159152; detail_scale=1.0; frame_scale_x=0.9729; frame_scale_y=0.9822; header_scale_x=0.8571; header_scale_y=0.9427; header_content_paths=80; header_text_paths=0; header_thumb_target_w=31.75; header_text_scale=0.8571; detail_bbox=174.82x218.81 mm; condition_images_recovered=0; point_boxes_replaced=17; left_strip_removed=True; outer_border_removed=True
